"Speciality","contract","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Disclosure of Services","Has Reports?","Reports Location",
"Mental Health, Dementia","Adult Family Home","758405","40014621","51544","AF  ","ANTHEA ANDREA AFH, LLC","OP    ","450 NE Harvest Dr","Oak Harbor","WA","98277","Island","450 NE Harvest Dr","Oak Harbor","WA","98277","(360) 246-4147","","","2B","SPMI, SPDE","1080XS-12 ","Santos, Irene","4","","","","1205435","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758405","No"," ",
"Mental Health, Dementia","Adult Family Home","755490","40011836","47262","AF  ","Camano Senior Care LLC","OP    ","116 Chase Way","Camano Island","WA","98282","Island","116 Chase Way","Camano Island","WA","98282","(206) 948-3027","","(360) 572-2071","2B","SPMI, SPDE","1080XS-12 ","Dondos, George J.","6","","","","1026052","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755490","No"," ",
"Mental Health, Dementia","Adult Family Home","758668","40009285","52014","AF  ","Crest View LLC","OP    ","1032 CIRCLE DRIVE","CAMANO ISLAND","WA","98282","Island","","","  ","","(360) 926-8024","","(360) 926-8042","2B","SPMI, SPDE","1080XS-12 ","Kifle, Netsanet","6","","","","1025184","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758668","No"," ",
"Mental Health, Dementia, Developmental Disabilities","No Contract","759070","40015343","52581","AF  ","MELKAM CARE ADULT FAMILY HOME LLC","OP    ","1429 Morningside Ln","Freeland","WA","98249","Island","1429 Morningside Ln","Freeland","WA","98249","(360) 222-2193","","","2B","SPMI, SPDE, SPDD","","TEFERA, AZEB A.","6","","","","1223366","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=759070","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","699700","40006997","38304","AF  ","PACIFIC PALISADES AFH","OP    ","280 DENNEBOOM RD","COUPEVILLE","WA","98239","Island","280 DENNEBOOM RD","COUPEVILLE","WA","98239","(360) 678-6707","(360) 678-0409","","2B","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Eck, Kenia X.","6","","","","540130","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=699700","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=699700",
"Mental Health, Dementia","Adult Family Home","755858","40012222","47922","AF  ","Platinum Care 365","OP    ","1685 SW 10th Ave","Oak Harbor","WA","98277","Island","1685 SW 10th Ave","Oak Harbor","WA","98277","(360) 720-1318","","(360) 682-2172","2B","SPMI, SPDE","1080XS-12 ","Goldsmith, Billie L.","4","","","","1023128","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755858","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755858",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","667900","40006679","38026","AF  ","SYLVIAS ADULT HOME","OP    ","707 NE Gould St","Coupeville","WA","98239","Island","PO BOX 1562","COUPEVILLE","WA","98239","(360) 678-3405","","(360) 838-6145","2B","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Robbins Miller, Jimma D.","6","","","","160550","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=667900","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=667900",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","755570","40011793","47194","AF  ","Makini LLC","OP    ","49 Park St","Davenport","WA","99122","Lincoln","49 Park St","Davenport","WA","99122","(509) 339-3025","","","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Ndiege, Sarah","6","","","","1017103","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755570","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755570",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","508400","40005084","36770","AF  ","SERENE MEADOWS II","OP    ","804 1st St","Davenport","WA","99122","Lincoln","PO BOX 1300","DAVENPORT","WA","99122","(509) 725-0299","","(509) 725-1220","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Badgley, Barbara","6","","","","1016992","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=508400","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=508400",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","637500","40006375","37762","AF  ","SERENE MEADOWS III","OP    ","803 1st St","Davenport","WA","99122","Lincoln","PO Box 1300","Davenport","WA","99122","(509) 725-7778","","(509) 725-1220","1E","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Badgley, Barbara","6","","","","1016992","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=637500","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=637500",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758365","40014601","51519","AF  ","AGAPE 1ST AFH LLC","OP    ","3206 Trumpeter Dr","Mount Vernon","WA","98273","Skagit","3206 Trumpeter Dr","Mount Vernon","WA","98273","(360) 399-7861","","","2B","SPMI, SPDE, SPDD","1080XS-12 ","ARAYA, SELAM","6","","","","605234","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758365","No"," ",
"Mental Health, Dementia","Adult Family Home","758131","40014246","50986","AF  ","Bakerview Adult Family Home LLC","OP    ","3620 Tundra Ct","Mount Vernon","WA","98273","Skagit","3620 Tundra Ct","Mount Vernon","WA","98273","(360) 503-8227","","","2B","SPMI, SPDE","1080XS-12 ","Ames, Edna A.","6","","","","491592","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758131","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","756400","40012303","48801","AF  ","Beacons of Hope Adult Family Home LLC","OP    ","1430 Sunset Pl","Mount Vernon","WA","98273","Skagit","4935 Lasalle Ave","Bellingham","WA","98229","(206) 816-4928","","","2B","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Mwaura, Josephine W.","6","","","","528294","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756400","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=756400",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758905","40015116","52254","AF  ","BY FAITH ADULT FAMILY HOME LLC","OP    ","1108 S 18th St","Mount Vernon","WA","98274","Skagit","1108 S 18th St","Mount Vernon","WA","98274","(205) 920-3676","","","2B","SPMI, SPDE, SPDD","1080XS-12 ","WAITHAKA, FAITH M.","6","","","","931224","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758905","No"," ",
"Mental Health, Dementia","Adult Family Home","692000","40006920","38235","AF  ","CARING HEARTS ADULT FAMILY HOME","OP    ","3019 W 2nd St","Anacortes","WA","98221","Skagit","3019 W 2nd St","Anacortes","WA","98221","(360) 293-8170","","(360) 299-3607","2B","SPMI, SPDE","1080XS-12 ","Cook, Terina I.","6","","","","1024905","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=692000","No"," ",
"Mental Health, Dementia","Adult Family Home","756388","40004603","48487","AF  ","Cross Creek AFH","OP    ","720 SHOESHEL DR","SEDRO WOOLLEY","WA","98284","Skagit","720 SHOESHEL DR","SEDRO WOOLLEY","WA","98284","(360) 854-9421","","(360) 854-7671","2B","SPMI, SPDE","1080XS-12 ","Prather, Mary E.","6","","","","640939","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=756388","No"," ",
"Mental Health, Dementia","No Contract","758779","40014935","51999","AF  ","Evergreen Golden Age","OP    ","221 Belmont Terrace","Mount Vernon","WA","98274","Skagit","221 Belmont Ter","Mount Vernon","WA","98274","(425) 900-2848","","","2B","SPMI, SPDE","","Liu, Brandon S.","6","","","","1060425","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758779","No"," ",
"Mental Health, Dementia","Expanded Community Services, Adult Family Home","752407","40009797","41927","AF  ","FAIRMONT MANOR CARE CENTER INC","OP    ","112 N 39TH PL","MOUNT VERNON","WA","98273","Skagit","PO BOX 1808","WOODINVILLE","WA","98072","(360) 419-0377","","(425) 947-1044","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 ","Fuertes, Maria L.","6","","","","1014666","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752407","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752407",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","757319","40013482","49869","AF  ","FRACULATE ADULT FAMILY HOME","OP    ","708 Jameson St","Sedro Woolley","WA","98284","Skagit","708 Jameson St","Sedro Woolley","WA","98284","(360) 404-5595","","(360) 972-7590","2B","SPMI, SPDE, SPDD","1080XS-12 ","Okumu, Maureen A.","6","","","","176281","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757319","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757319",
"Mental Health, Dementia","Adult Family Home","758172","40014361","51148","AF  ","GARDEN OF EDEN LUXURY AFH LLC","OP    ","211 Garden of Eden Rd","Sedro Woolley","WA","98284","Skagit","211 Garden of Eden Rd","Sedro Woolley","WA","98284","(425) 244-6965","","","2B","SPMI, SPDE","1080XS-12 ","Abraha, Robel","6","","","","1021970","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758172","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","753411","40009242","44442","AF  ","Harmony Adult Family Home LLC","OP    ","22906 GREENOUGH LANE","SEDRO WOOLLEY","WA","98284","Skagit","22906 GREENOUGH LANE","SEDRO WOOLLEY","WA","98284","(360) 856-4085","(360) 399-1620","","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Kidanemariam, Ruth G.","6","","","","599120","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753411","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753411",
"Mental Health, Dementia","Adult Family Home","752144","40009638","41449","AF  ","HEAVENLY CARE INC","OP    ","7055 HOLIDAY BLVD","ANACORTES","WA","98221","Skagit","7055 HOLIDAY BLVD","ANACORTES","WA","98221","(360) 299-8584","","(360) 488-2120","2B","SPMI, SPDE","1080XS-12 ","RICHMOND, LAWRENCE E.","2","","","","1024176","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752144","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752144",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","754823","40009685","46485","AF  ","Holistic Care Center LLC","OP    ","1402 Fowler St","Mount Vernon","WA","98274","Skagit","1402 Fowler St","Mount Vernon","WA","98274","(206) 834-5740","","(425) 955-2723","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","MACARILAY, MARY JOY","6","","","","566715","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754823","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=754823",
"Mental Health, Dementia","Adult Family Home","750071","40007380","38631","AF  ","JOSHUAS HOUSE","OP    ","1809 TOWNSHIP ST","SEDRO WOOLLEY","WA","98284","Skagit","1809 TOWNSHIP ST","SEDRO WOOLLEY","WA","98284","(360) 873-8223","(360) 873-8223","","2B","SPMI, SPDE","1080XS-12 ","Anderson, Lisa A.","6","","","","552852","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750071","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750071",
"Mental Health, Dementia","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","757881","40011929","51074","AF  ","Kayden's Loving Care","OP    ","121 Claremont Pl","Mount Vernon","WA","98274","Skagit","27421 56th Ave NW","Stanwood","WA","98292","(206) 255-7919","","","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","O'Leary, Karen S.","6","","","","1014519","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757881","No"," ",
"Mental Health, Dementia, Developmental Disabilities","HCS Meaningful Day, DDA Meaningful Day, Adult Family Home","755586","40011864","47310","AF  ","Lilac Gardens Adult Family Home, LLC","OP    ","130 Lilac Dr","Mount Vernon","WA","98273","Skagit","130 Lilac Dr","Mount Vernon","WA","98273","(206) 793-9601","","","2B","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Mason, Kananu","6","","","","880182","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755586","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=755586",
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, HCS Meaningful Day, Expanded Community Services, DDA Meaningful Day, Adult Family Home","753581","40009375","44657","AF  ","Living In Comfort LLC","OP    ","1231 Warner St","Sedro Woolley","WA","98284","Skagit","1231 Warner St","Sedro Woolley","WA","98284","(360) 982-2413","","(360) 755-3240","2B","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Seifu, Emebet T.","6","","","","494828","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753581","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753581",
"Mental Health, Dementia","Adult Family Home","758849","40015020","52107","AF  ","P AND K Haven Adult Family Home LLC","OP    ","3625 Tundra Ct","Mount Vernon","WA","98273","Skagit","3625 Tundra Ct","Mount Vernon","WA","98273","(360) 982-2918","","","2B","SPMI, SPDE","1080XS-12 ","Kamau, Florence W.","6","","","","1252929","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758849","No"," ",
"Mental Health, Dementia","Adult Family Home","758568","40014732","51698","AF  ","Park Ridge Care Home","OP    ","1026 S 38th Pl","Mount Vernon","WA","98274","Skagit","1026 S 38th Pl","Mount Vernon","WA","98274","(360) 755-6185","","","2B","SPMI, SPDE","1080XS-12 ","ODINGO, SIDNEY O.","5","","","","1150855","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758568","No"," ",
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home","758149","40014369","51159","AF  ","PRIMENOOK AFH LLC","OP    ","2519 Northwoods Loop Rd","Mount Vernon","WA","98273","Skagit","2519 Northwoods Loop Rd","Mount Vernon","WA","98273","(425) 443-8816","","","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","MUHINJA, MAXWELL K.","6","","","","1208577","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758149","No"," ",
"Mental Health, Dementia","Adult Family Home","758369","40014578","51489","AF  ","Rainbow Ridge AFH LLC","OP    ","4156 McLaughlin Rd","Mount Vernon","WA","98273","Skagit","4156 McLaughlin Rd","Mount Vernon","WA","98273","(678) 462-1599","","","2B","SPMI, SPDE","1080XS-12 ","Kamau, Samuel K.","6","","","","1190118","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758369","No"," ",
"Mental Health, Dementia","Expanded Community Services, Adult Family Home","757591","40013253","50460","AF  ","SEDRO WOOLLEY ADULT FAMILY HOME","OP    ","904 ALDERWOOD LANE","SEDRO WOOLLEY","WA","98284","Skagit","904 ALDERWOOD LANE","SEDRO WOOLLEY","WA","98284","(360) 755-6705","","","2B","SPMI, SPDE","1080XS-12 , 1080XS-12 ","Areda, Samrawit","6","","","","1092533","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757591","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757591",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","758924","40015115","52252","AF  ","Senior Services Adult Family Home LLC","OP    ","3707 Trumpeter Ct","Mount Vernon","WA","98273","Skagit","3707 Trumpeter Ct","Mount Vernon","WA","98273","(360) 770-6434","","","2B","SPMI, SPDE, SPDD","1080XS-12 ","Ngaruiya, Rachel J.","6","","","","892079","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758924","No"," ",
"Mental Health, Dementia","Adult Family Home","758550","40014808","51808","AF  ","SKAGIT RIVER ADULT FAMILY HOME LLC","OP    ","2120 Forest Dr","Mount Vernon","WA","98273","Skagit","2120 Forest Dr","Mount Vernon","WA","98273","(360) 723-2907","","","2B","SPMI, SPDE","1080XS-12 ","Tekle, Bereket","6","","","","1014044","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=758550","No"," ",
"Mental Health, Dementia","No Contract","759015","40015207","52391","AF  ","Skagit Senior Living LLC","OP    ","931 Alderwood Ln","Sedro Woolley","WA","98284","Skagit","931 Alderwood Ln","Sedro Woolley","WA","98284","(206) 321-8304","","","2B","SPMI, SPDE","","Matheos, Biniam","6","","","","1279228","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=759015","No"," ",
"Dementia, Developmental Disabilities","Adult Family Home","757067","40013187","49471","AF  ","SKAGIT VALLEY ADULT FAMILY HOME LLC","OP    ","1931 EAST FIR STREET","Mount Vernon","WA","98273","Skagit","1931 EAST FIR STREET","Mount Vernon","WA","98273","(425) 268-1719","(360) 399-7385","","2B","SPDE, SPDD","1080XS-12 ","LECHA, JOSHUA K.","5","","","","528520","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=757067","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=757067",
"Mental Health, Dementia, Developmental Disabilities","Adult Family Home","753579","40003980","44577","AF  ","Annas Homes Inc","OP    ","1007 LOWDEN ST","WALLA WALLA","WA","99362","Walla Walla","1007 LOWDEN ST","WALLA WALLA","WA","99362","(509) 525-6606","","","1C","SPMI, SPDE, SPDD","1080XS-12 ","Gonzalez, Enedina A.","2","","","","1023856","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753579","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753579",
"Mental Health, Dementia, Developmental Disabilities","Expanded Community Services, Adult Family Home","310601","40003106","34832","AF  ","COUNTRY LANE ADULT CARE","OP    ","1840 GRAY LYNN DR","WALLA WALLA","WA","99362","Walla Walla","1840 GRAY LYNN DR","WALLA WALLA","WA","99362","(509) 529-3447","","","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Pettibone, Carol","4","","","","754343","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=310601","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=310601",
"Mental Health, Dementia","Adult Family Home","750565","40008314","39244","AF  ","MIRANDAS HOME CARE","OP    ","37 MCKAY PLACE","WALLA WALLA","WA","99362     ","Walla Walla","37 MCKAY PLACE","WALLA WALLA","WA","99362     ","(509) 522-1416","","(509) 522-1416","1C","SPMI, SPDE","1080XS-12 ","Duarte, Alicia M.","6","","","","441846","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750565","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750565",
"Dementia","No Contract","115500","40001155","32468","AF  ","MONTGOMERY AFH","OP    ","46 ROLAND CT","WALLA WALLA","WA","99362","Walla Walla","46 ROLAND CT","WALLA WALLA","WA","99362","(509) 525-1996","","(509) 526-5775","1C","SPDE","","Montgomery, Lorelie A.","4","","","","1021010","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=115500","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=115500",
"Mental Health, Dementia, Developmental Disabilities","DDA Meaningful Day, Adult Family Home","751699","40001088","40842","AF  ","SUNNY SIDE INN AFH","OP    ","327 SE HIGHLAND PARK DR","COLLEGE PLACE","WA","99324","Walla Walla","327 SE HIGHLAND PARK DR","COLLEGE PLACE","WA","99324","(509) 526-7707","","","1C","SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Elliott, Barbara J.","2","","","","1024936","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751699","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751699",
"Mental Health, Dementia","Adult Family Home","753410","40010374","44297","AF  ","Sunset Adult Family LLC","OP    ","2009 E Alder Street","Walla Walla","WA","99362","Walla Walla","2009 E Alder Street","Walla Walla","WA","99362","(509) 876-4212","","(509) 876-4212","1C","SPMI, SPDE","1080XS-12 ","Soto, Maria R.","6","","","","561539","False","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753410","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753410",
