"Speciality","contract","Check_Type","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Has Reports?","Reports Location",
"None","No Contract","","2455","60009615","44636","BH  ","Aegis Living at Ravenna","OP    ","8511 15th Ave NE","Seattle","WA","98115","King","8511 15th Ave NE","Seattle","WA","98115","","","","2J","","","Temporada, Fritzie P.","79","7/31/2026 12:00:00 AM","","","501288","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2455",
"None","No Contract","","2689","60009698","49448","BH  ","Aegis Living Ballard","OP    ","949 NW Market St","Seattle","WA","98107","King","949 NW Market St","Seattle","WA","98107","(206) 204-8000","","","2J","","","Shepodd, Paul","80","3/31/2027 12:00:00 AM","","","954342","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2689",
"None","No Contract","","2567","60009666","46491","BH  ","Aegis Living Bellevue Overlake","OP    ","1845 116th Ave NE","Bellevue","WA","98004","King","1845 116th Ave NE","Bellevue","WA","98004","(425) 233-6030","","","2D","","","Morrison, Robert","122","3/31/2027 12:00:00 AM","","","1069816","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2567",
"None","No Contract","","2589","60008905","46777","BH  ","Aegis Living Callahan House","OP    ","15100 1st Ave NE","Shoreline","WA","98155","King","15100 1st Ave NE","Shoreline","WA","98155","(206) 417-9747","","(206) 234-2010","2J","","","Schaefer, Hermann","43","5/31/2027 12:00:00 AM","","","795318","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2589",
"None","No Contract","","2617","60009682","47254","BH  ","Aegis Living Greenwood","OP    ","10000 Holman Rd NW","Seattle","WA","98177","King","10000 Holman Rd NW","Seattle","WA","98177","(206) 436-3444","","","2J","","","Watkins, David","91","6/30/2026 12:00:00 AM","","","750210","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2617",
"None","No Contract","","2596","60008815","46778","BH  ","Aegis Living Kirkland","OP    ","13000 Totem Lake Blvd NE","Kirkland","WA","98034","King","13000 Totem Lake Blvd NE","Kirkland","WA","98034","(425) 823-7272","","(425) 823-8227","2D","","","Marks, Angela","41","8/31/2026 12:00:00 AM","","","1262487","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2596",
"None","No Contract","","2586","60009669","46652","BH  ","Aegis Living Kirkland Waterfront","OP    ","1002 Lake Street S","Kirkland","WA","98033","King","1002 Lake Street S","Kirkland","WA","98033","(425) 250-1500","","","2D","","","Besmehn, Ashley","103","8/31/2026 12:00:00 AM","","","845459","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2586",
"None","No Contract","","2630","60009675","46864","BH  ","Aegis Living Lake Union","OP    ","1936 Eastlake Ave E","Seattle","WA","98102","King","1936 Eastlake Ave E","Seattle","WA","98102","(425) 233-6030","","","2D","","","Baharmast, Reza","62","8/31/2026 12:00:00 AM","","","749274","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2630",
"None","No Contract","","2692","60009699","49576","BH  ","Aegis Living Laurelhurst","OP    ","3200 NE 45th St","Seattle","WA","98105","King","3200 NE 45th St","Seattle","WA","98105","(206) 204-8800","","","2J","","","Schaefer, Hermann","67","4/30/2027 12:00:00 AM","","","795318","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2692",
"None","No Contract","","2454","60009618","44848","BH  ","Aegis Living of West Seattle","OP    ","4700 SW Admiral Way","Seattle","WA","98116","King","4700 SW Admiral Way","Seattle","WA","98116","(206) 436-0500","","(206) 938-0983","2J","","","Chappelle, Kent","84","7/31/2026 12:00:00 AM","","","749938","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2454",
"None","No Contract","","2592","60001803","46776","BH  ","Aegis Living Shoreline","OP    ","14900 1ST AVENUE NE","SHORELINE","WA","98155","King","14900 1ST AVENUE NE","SHORELINE","WA","98155","(206) 367-6700","","(425) 241-1755","2J","","","Schaefer, Hermann","112","9/30/2026 12:00:00 AM","","","795318","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2592",
"None","No Contract","","2492","60008837","45356","BH  ","Aegis Lodge of Kirkland","OP    ","12629 116TH AVE NE","KIRKLAND","WA","98034","King","12629 116TH AVE NE","KIRKLAND","WA","98034","","","(425) 823-2881","2D","","","Otieno, Alfred Al O.","78","4/30/2027 12:00:00 AM","","","441462","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2492",
"None","No Contract","","2491","60009547","45355","BH  ","Aegis of Bellevue","OP    ","148 102nd Ave SE","Bellevue","WA","98004","King","","","  ","","","","(425) 453-8102","2D","","","JUMA, SYLVIA","77","2/28/2027 12:00:00 AM","","","617148","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2491",
"None","No Contract","","1997","60001074","39713","BH  ","AEGIS OF ISSAQUAH","OP    ","780 NW JUNIPER STREET","ISSAQUAH","WA","98027","King","780 NW JUNIPER STREET","ISSAQUAH","WA","98027","(425) 392-8100","(425) 391-8804","","2D","","","Aguas, Jay","50","12/31/2026 12:00:00 AM","","","1286269","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1997",
"None","No Contract","","2241","60009568","41998","BH  ","AEGIS OF MADISON","OP    ","2200 E Madison St","Seattle","WA","98112","King","","","  ","","(206) 325-1600","","","2J","","","Cairns, Jason","96","2/28/2027 12:00:00 AM","","","749102","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2241",
"None","No Contract","","2209","60009567","41972","BH  ","AEGIS OF MARYMOOR","OP    ","4585 WEST LAKE SAMMAMISH PARKWAY NE","REDMOND","WA","98052","King","4585 WEST LAKE SAMMAMISH PARKWAY NE","REDMOND","WA","98052","(425) 497-0900","(425) 497-0908","","2D","","","Koshi, Peter","62","9/30/2026 12:00:00 AM","","","795317","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2209",
"None","No Contract","","2509","60009635","45398","BH  ","Aegis of Mercer Island","OP    ","7445 SE 24th Street","Mercer Island","WA","98040","King","7445 SE 24th Street","Mercer Island","WA","98040","(206) 602-1365","","","2D","","","Clough, Phil","80","7/31/2026 12:00:00 AM","","","750693","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2509",
"None","No Contract","","2381","60009585","43932","BH  ","Aegis of Queen Anne at Rodgers Park","OP    ","2900 3rd Ave W","Seattle","WA","98119","King","2900 3rd Ave W","Seattle","WA","98119","(206) 858-9989","(206) 281-5208","","2J","","","Young, Roger","106","10/31/2026 12:00:00 AM","","","749073","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2381",
"None","No Contract","","2339","60009581","43768","BH  ","Aegis of Queen Anne on Galer","OP    ","223 W Galer St","Seattle","WA","98119","King","","","  ","","(206) 285-1106","","(206) 283-9388","2J","","","Alesiani, Renato","50","9/30/2026 12:00:00 AM","","","1286274","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2339",
"None","No Contract","","1944","60008755","38914","BH  ","AEGIS SENIOR INN OF KENT","OP    ","10421 SE 248th St","Kent","WA","98030","King","10421 SE 248th St","Kent","WA","98030","(253) 243-0054","(253) 520-0360","","2D","","","Saul, Caroyln","33","2/28/2027 12:00:00 AM","","","942558","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1944",
"None","No Contract","","1804","60000855","30931","BH  ","AEGIS SENIOR INN OF REDMOND","OP    ","7480 W LAKE SAMMAMISH PKWY NE","REDMOND","WA","98052","King","7480 W LAKE SAMMAMISH PKWY NE","REDMOND","WA","98052","(425) 786-2040","","(425) 882-1823","2D","","","Will, Duann","43","9/30/2026 12:00:00 AM","","","1187548","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1804",
"None","No Contract","","2019","60009524","39587","BH  ","ALJOYA MERCER ISLAND","OP    ","2430 76TH AVENUE SE","MERCER ISLAND","WA","98040","King","2430 76TH AVENUE SE","MERCER ISLAND","WA","98040","(206) 230-0150","(206) 230-0151","","2D","","","BECKER, MARLA A.","40","12/31/2026 12:00:00 AM","","","749118","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2019",
"None","No Contract","","2040","60009544","40268","BH  ","ALJOYA THORNTON PLACE","OP    ","450 NE 100TH STREET","SEATTLE","WA","98125","King","450 NE 100TH ST","SEATTLE","WA","98125","(206) 470-8000","(206) 306-7952","","2J","","","Parkins, Danielle","36","7/31/2026 12:00:00 AM","","","749484","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2040",
"None","No Contract","","1993","60008792","39576","BH  ","ARBOR VILLAGE RETIREMENT & ASSISTED LIVING COMMUNITY","OP    ","24121 116TH AVE SE","KENT","WA","98030","King","24121 116TH AVE SE","KENT","WA","98030","(253) 856-1600","(253) 373-9474","","2D","","","Shegrud, Jennifer","100","2/28/2027 12:00:00 AM","","","641224","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1993",
"None","Assisted Living SOW, Adult Residential Care","","2713","60001145","50256","BH  ","Assisted Living on Jensen","OP    ","2229 JENSEN ST","ENUMCLAW","WA","98022","King","2229 JENSEN ST","ENUMCLAW","WA","98022","(360) 825-0280","","(360) 825-6272","2D","","1002XS-12 , 1007XS-12 ","Weilenmann, Michael","65","5/31/2027 12:00:00 AM","","","1167740","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2713",
"None","No Contract","","2055","60009543","40235","BH  ","BALLARD LANDMARK","OP    ","5433 LEARY AVENUE NW","SEATTLE","WA","98107","King","5433 LEARY AVENUE NW","SEATTLE","WA","98107","(206) 782-4000","(206) 782-4002","","2J","","","Edwards, Neil","63","12/31/2026 12:00:00 AM","","","749777","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2055",
"None","No Contract","","162","60000616","30011","BH  ","BAYVIEW MANOR HOMES","OP    ","11 W Aloha St","Seattle","WA","981199963","King","11 W Aloha St","Seattle","WA","981199963","(206) 284-7330","","(206) 281-5781","2J","","","Yeo, Pamela J.","51","7/31/2026 12:00:00 AM","","","750467","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=162",
"None","No Contract","","2694","60009697","49243","BH  ","Bonaventure of Maple Valley LLC","OP    ","23801 228th AVe SE","Maple Valley","WA","98038","King","23801 228th AVe SE","Maple Valley","WA","98038","(425) 660-9020","","(425) 660-9021","2D","","","Eaves, Lily","101","5/31/2027 12:00:00 AM","","","671651","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2694",
"None","No Contract","","2602","60009594","47576","BH  ","Briarwood at Timber Ridge","OP    ","100 Timber Ridge Way NW","Issaquah","WA","98027","King","100 Timber Ridge Way NW","Issaquah","WA","98027","(425) 427-5200","","(425) 427-5207","2D","","","Humphrey, Errin D.","26","2/28/2027 12:00:00 AM","","","750150","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2602",
"None","No Contract","","2306","60008836","42355","BH  ","Brookdale Admiral Heights","OP    ","2326 CALIFORNIA AVE SW","SEATTLE","WA","98116","King","2326 CALIFORNIA AVE SW","SEATTLE","WA","98116","(206) 938-3964","(206) 938-6008","","2J","","","Mroczkowski, Anna","55","1/31/2027 12:00:00 AM","","","1269154","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2306",
"None","Enhanced Adult Residential Care, Assisted Living SOW","","2526","60000695","45656","BH  ","Brookdale Federal Way","OP    ","31002 14th Ave S","Federal Way","WA","98003","King","31002 14th Ave S","Federal Way","WA","98003","(253) 941-0156","","","2D","","1006XS-12 , 1002XS-12 ","Nencetti, Laura","110","8/31/2026 12:00:00 AM","","","808139","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2526",
"None","No Contract","","1917","60008828","30970","BH  ","Brookdale Foundation House","OP    ","32290 1st Ave S","Federal Way","WA","98003","King","32290 FIRST AVE SOUTH","FEDERAL WAY","WA","98003","(253) 328-9584","","(253) 838-8355","2D","","","Anderson, Cristine J.","129","10/31/2026 12:00:00 AM","","","478673","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1917",
"None","No Contract","","2319","60008954","42369","BH  ","Brookdale West Seattle","OP    ","4611 35TH AVE SW","SEATTLE","WA","98126","King","4611 35TH AVE SW","SEATTLE","WA","98126","(206) 932-5480","","(206) 923-6410","2J","","","Schaper, Dawn","60","12/31/2026 12:00:00 AM","","","750451","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2319",
"None","No Contract","","2774","60001135","52268","BH  ","Cascade Place","OP    ","2000 Mountain View Dr","Enumclaw","WA","98022","King","2000 Mountain View Dr","Enumclaw","WA","98022","(360) 956-3396","","(360) 956-9481","2D","","","Repp, Cassidy","40","3/31/2027 12:00:00 AM","","","468841","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2774",
"None","No Contract","","2228","60008877","41982","BH  ","CHATEAU AT BOTHELL LANDING RETIREMENT COMMUNITY","OP    ","17543 102ND AVENUE NE","BOTHELL","WA","98011","King","17543 102ND AVENUE NE","BOTHELL","WA","98011","(425) 485-1155","","(425) 984-9041","2D","","","Kaupp, Debbie","142","5/31/2027 12:00:00 AM","","","924420","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2228",
"None","No Contract","","2230","60008974","41980","BH  ","CHATEAU AT VALLEY CENTER RETIREMENT COMMUNITY","OP    ","4450 Davis Ave S","Renton","WA","98055","King","4450 Davis Ave S","Renton","WA","98055","(425) 251-6677","(425) 271-1984","","2D","","","Bosancu, Nicole L.","120","6/30/2026 12:00:00 AM","","","581422","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2230",
"None","No Contract","","2471","60009609","45238","BH  ","Ciel Senior Living of Issaquah","OP    ","23845 SE Issaquah Fall City Rd","Issaquah","WA","980297514","King","23845 SE Issaquah Fall City Rd","Issaquah","WA","98029-7514","(425) 654-4005","","(425) 654-4236","2D","","","See-Tower, Sherry","71","9/30/2026 12:00:00 AM","","","750612","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2471",
"None","No Contract","","2623","60000940","47342","BH  ","Cogir of Bothell","OP    ","10605 NE 185th St","Bothell","WA","98011","King","10605 NE 185th St","Bothell","WA","98011","(425) 487-3245","","","2J","","","Cline, Laurel","64","6/30/2026 12:00:00 AM","","","750162","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2623",
"None","No Contract","","2620","60009681","47248","BH  ","Cogir of Kent","OP    ","25035 104th Ave SE","Kent","WA","98030","King","25035 104th Ave SE","Kent","WA","98030","(253) 549-9300","","","2D","","","Rangel, Monica","140","6/30/2026 12:00:00 AM","","","750669","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2620",
"None","No Contract","","2686","60009695","48916","BH  ","Cogir of Kirkland","OP    ","6505 Lakeview Dr","Kirkland","WA","98033","King","6505 Lakeview Dr","Kirkland","WA","98033","(425) 655-9696","","(425) 242-0967","2D","","","White, Mina","85","2/28/2027 12:00:00 AM","","","750159","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2686",
"None","No Contract","","2622","60008931","47340","BH  ","Cogir of Northgate Memory Care","OP    ","11039 17th Ave NE","Seattle","WA","98125","King","11039 17th Ave NE","Seattle","WA","98125","","","","2J","","","Dalke, Brandon","49","6/30/2026 12:00:00 AM","","","750291","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2622",
"None","No Contract","","2473","60001835","45282","BH  ","Cogir Queen Anne","OP    ","805 4th Ave N","Seattle","WA","98109","King","805 4th Ave N","Seattle","WA","98109","","","(206) 284-0056","2J","","","Walangitan, Jane","130","10/31/2026 12:00:00 AM","","","1206460","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2473",
"None","No Contract","","958","60000669","30277","BH  ","Covenant Living West","OP    ","9115 FORTUNA DRIVE","MERCER ISLAND","WA","98040","King","9115 FORTUNA DRIVE","MERCER ISLAND","WA","98040","(206) 268-3000","","(206) 268-3233","2J","","","Gillaspie, Debra","50","7/31/2026 12:00:00 AM","","","749713","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=958",
"None","No Contract","","770","60000670","30158","BH  ","CRISTWOOD RETIREMENT COMMUNITY","OP    ","19303 Fremont Ave N","Shoreline","WA","98133","King","19303 Fremont Ave N","Shoreline","WA","98133","(206) 210-1306","","(206) 289-7144","2J","","","Sam, Brianna F.","90","11/30/2026 12:00:00 AM","","","749915","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=770",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2140","60000688","41674","BH  ","ELDORADO WEST RETIREMENT COMMUNITY","OP    ","1010 SW 134th St","Burien","WA","98146","King","2020 A St SE Suite 101","Auburn","WA","98002","(206) 248-1975","(360) 243-7382","","2D","","1027XS-12 , 1006XS-12 , 1002XS-12 , 1007XS-12 ","Iraheta, Coral","110","1/31/2027 12:00:00 AM","","","1115953","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2140",
"None","No Contract","","994","60003602","30302","BH  ","EMERALD HEIGHTS","OP    ","10901 176TH CIRCLE NE","REDMOND","WA","98052","King","10901 176TH CIRCLE NE","REDMOND","WA","98052","(425) 556-8100","","(425) 556-8128","2D","","","Jones, Jill","74","9/30/2026 12:00:00 AM","","","1160613","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=994",
"None","No Contract","","2613","60009680","47174","BH  ","Empress Senior Living at Laurelhurst","OP    ","4020 NE 55th St","Seattle","WA","98105","King","4020 NE 55th St","Seattle","WA","98105","(206) 644-1013","","(206) 453-5656","2J","","","Carlos, Cash","73","5/31/2027 12:00:00 AM","","","749134","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2613",
"None","Assisted Living SOW","","1502","60008858","30718","BH  ","EVERGREEN COURT","OP    ","900 124TH AVENUE NE","BELLEVUE","WA","98005","King","900 124TH AVENUE NE","BELLEVUE","WA","98005","(425) 637-4860","(425) 637-7074","","2D","","1002XS-12 ","Kamau, James N.","48","7/31/2026 12:00:00 AM","","","513863","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1502",
"None","No Contract","","1172","60001172","30465","BH  ","FAIRWINDS BRITTANY PARK","OP    ","17143 133RD AVE NE","WOODINVILLE","WA","98072","King","17143 133RD AVE NE","WOODINVILLE","WA","98072","(425) 402-7100","","(425) 486-3181","2D","","","Battisti, Steve","47","10/31/2026 12:00:00 AM","","","1262523","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1172",
"None","No Contract","","1814","60001814","30939","BH  ","FAIRWINDS REDMOND","OP    ","9988 AVONDALE ROAD NE","REDMOND","WA","98052","King","9988 AVONDALE ROAD NE","REDMOND","WA","98052","(425) 558-4700","","(425) 558-1207","2D","","","Kasten, Brooke L.","50","4/30/2027 12:00:00 AM","","","955754","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1814",
"None","Enhanced Adult Residential Care","","2347","60009578","42420","BH  ","FAMILY TO FAMILY SENIOR CARE INC","OP    ","25633 SE 30th St","Sammamish","WA","98075","King","25633 SE 30th St","Sammamish","WA","98075","(425) 644-7321","","(425) 369-9469","2D","","1006XS-12 ","Paul, Manuela","15","10/31/2026 12:00:00 AM","","","749221","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2347",
"None","No Contract","","2145","60008733","41744","BH  ","FARRINGTON COURT RETIREMENT COMMUNITY","OP    ","516 Kenosia Ave S","Kent","WA","98030","King","516 Kenosia Ave S","Kent","WA","98030","(253) 852-2737","(253) 854-1525","","2D","","","McFadden, Kristine","70","7/31/2026 12:00:00 AM","","","648311","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2145",
"None","Adult Residential Care","","1795","60000702","30924","BH  ","FIRWOOD","OP    ","10751 2ND AVE NW","SEATTLE","WA","98177","King","10751 2ND AVE NW","SEATTLE","WA","98177","(206) 362-0560","(206) 362-1470","","2J","","1007XS-12 ","Andriyivna, Natalie","20","8/31/2026 12:00:00 AM","","","1102555","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1795",
"None","Enhanced Adult Residential Care, Adult Residential Care","","2009","60003485","39854","BH  ","FLORENCE OF SEATTLE ARBOR HEIGHTS","OP    ","9850 CALIFORNIA AVE SW","SEATTLE","WA","98136","King","9850 CALIFORNIA AVE SW","SEATTLE","WA","98136","(206) 714-3324","(206) 212-7637","","2J","","1006XS-12 , 1007XS-12 ","Yamashita, Laurie","12","8/31/2026 12:00:00 AM","","","749656","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2009",
"None","Enhanced Adult Residential Care, Adult Residential Care","","2011","60000703","39853","BH  ","FLORENCE OF SEATTLE LLC","OP    ","8424 16TH AVE SW","SEATTLE","WA","98106","King","8424 16TH AVE SW","SEATTLE","WA","98106","(206) 767-3137","(206) 212-7637","","2J","","1006XS-12 , 1007XS-12 ","Yamashita, Laurie","20","1/31/2027 12:00:00 AM","","","749656","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2011",
"None","Assisted Living SOW","","1568","60008887","30765","BH  ","FOUNTAIN COURT ASSISTED LIVING","OP    ","24200 224TH AVENUE SE","MAPLE VALLEY","WA","98038","King","24200 224TH AVENUE SE","MAPLE VALLEY","WA","98038","(425) 432-3352","","(425) 432-1648","2D","","1002XS-12 ","Reifel, Courtney","65","8/31/2026 12:00:00 AM","","","1068911","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1568",
"None","Assisted Living SOW, Adult Residential Care","","864","60000708","30210","BH  ","FRED LIND MANOR","OP    ","1802 17TH AVE","SEATTLE","WA","98122","King","1802 17TH AVE","SEATTLE","WA","98122","(206) 324-1632","","(206) 323-0485","2J","","1002XS-12 , 1007XS-12 ","Martin, Mike","90","9/30/2026 12:00:00 AM","","","750073","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=864",
"None","No Contract","","1631","60008906","30811","BH  ","Garden Terrace Healthcare Center of Federal Way","OP    ","491 S 338TH STREET","FEDERAL WAY","WA","98003","King","491 S 338TH STREET","FEDERAL WAY","WA","98003","(253) 661-2226","","(253) 661-2327","2D","","","Moss, Amanda N.","34","5/31/2027 12:00:00 AM","","","750356","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1631",
"None","No Contract","","2484","60001142","45170","BH  ","Gencare Lifestyle Federal Way at Steel Lake","OP    ","31200 23rd Avenue South","Federal Way","WA","98003","King","31200 23rd Avenue South","Federal Way","WA","98003","","","(253) 941-3470","2D","","","Abela, Angelo","85","4/30/2027 12:00:00 AM","","","1196342","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2484",
"None","No Contract","","2651","60008881","48312","BH  ","Golden Hearth Residence LLC","OP    ","15934 NE 139TH PLACE","WOODINVILLE","WA","98072","King","4431 S Shell St","Seattle","WA","98072","(425) 298-0407","","(425) 620-3090","2D","","","ABITEW, ASRAT","8","11/30/2026 12:00:00 AM","","","455745","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2651",
"None","Specialized Dementia Care, Assisted Living SOW","","2696","60001822","49486","BH  ","Greenlake Emerald City","OP    ","9001 Lake City Way NE","Seattle","WA","98115","King","9001 Lake City Way NE","Seattle","WA","98115","(206) 729-1200","","","2J","","1027XS-12 , 1002XS-12 ","Eiseman, Lawrence M.","119","7/31/2026 12:00:00 AM","","","1021540","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2696",
"None","Enhanced Adult Residential Care","","193","60000733","30015","BH  ","HEARTHSTONE","OP    ","6720 E Green Lake Way N","Seattle","WA","98103","King","6720 E Greenlake Way N","Seattle","WA","981035439","(206) 525-9666","(206) 517-2294","","2J","","1006XS-12 ","Hickey, Michael E.","62","3/31/2027 12:00:00 AM","","","572177","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=193",
"None","Assisted Living SOW","","919","60000739","30244","BH  ","HERITAGE HOUSE AT THE MARKET","OP    ","1533 WESTERN AVENUE","SEATTLE","WA","98101","King","1533 WESTERN AVE","SEATTLE","WA","98101","(206) 382-4119","","(206) 382-0201","2J","","1002XS-12 ","Irvin, LaTasha","64","6/30/2026 12:00:00 AM","","","942560","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=919",
"None","Specialized Dementia Care, Assisted Living SOW","","2432","60000741","44144","BH  ","High Point Village","OP    ","1777 Highpoint St","Enumclaw","WA","98022","King","2020 A St SE Suite 101","Auburn","WA","98002","(360) 825-7780","","(360) 243-7382","2D","","1027XS-12 , 1002XS-12 ","Canada, Marissa J.","75","6/30/2026 12:00:00 AM","","","750642","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2432",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2714","60001157","50336","BH  ","Hillside Assisted Living","OP    ","112 KENNEBECK AVE N","KENT","WA","98030","King","112 KENNEBECK AVE N","KENT","WA","98030","(253) 850-0333","","(253) 850-3293","2D","","1006XS-12 , 1006XS-12 , 1007XS-12 ","Futch, Jenifer","75","8/31/2026 12:00:00 AM","","","986949","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2714",
"None","Adult Residential Care","","1278","60006577","30558","BH  ","HILLTOP MANOR BOARDING HOME","OP    ","1732 16TH AVE","SEATTLE","WA","98122","King","1732 16TH AVE","SEATTLE","WA","98122","(206) 329-5775","(206) 329-0364","","2J","","1007XS-12 ","Duran, Lauren","35","8/31/2026 12:00:00 AM","","","1115606","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1278",
